component,pearson_r
z3,0.7829063698559662
z2,-0.753750434719568
z14,0.2707910960778172
z11,0.2524724253247139
z8,-0.22649198900223416
z26,-0.21276244632794825
z22,0.17228374809163832
z5,0.1655126892505706
z24,0.15533799610104448
z13,0.1217815876043461
z56,0.11266486350721684
z9,0.11179798702815096
z53,0.10452406430147414
z16,0.10429761707307317
z35,0.1000069855080114
z44,0.09031127346422431
z39,-0.08716331215082193
z20,-0.08579118626442354
z15,0.0840118222226281
z31,0.08238736537816568
z6,-0.07399229101610408
z32,0.07193230585012976
z7,-0.07125041456111131
z18,0.06830829526963378
z40,-0.06770689593120839
z1,-0.0658179311038848
z52,-0.0643859788351359
z54,0.062274748420043304
z41,-0.05520281568787391
z19,-0.0550077828637001
z60,0.05405716719280373
z27,-0.05356236429094466
z49,-0.0533869164597154
z17,-0.05306166822421072
z55,0.052363884626653395
z21,0.05105979530133332
z45,0.050515143790518954
z38,-0.04928862205026664
z37,0.047692304477646844
z34,-0.0473834688801866
z42,-0.04507056258989029
z43,-0.04209880877704404
z51,0.039903130718539244
z30,0.03960065485101089
z48,-0.03814702866350789
z33,-0.03523592327517841
z63,-0.0352113691127498
z61,0.030846654488913227
z23,0.028297607386285308
z50,-0.02767853165673816
z25,-0.025152309082331983
z28,-0.022239402928533405
z29,-0.018556619417351088
z58,-0.01722656798705722
z47,0.01501442888232446
z12,-0.01494389675325951
z57,-0.01314016262976805
z10,0.012569568600552356
z4,0.011241264968413352
z46,-0.010149192619978044
z36,-0.004415979863339779
z59,0.0037180403583838575
z64,0.0034446109245250415
z62,0.0026969959509082885
