component,pearson_r
z2,0.7316282736022562
z3,-0.3896983304209829
z35,-0.12668902849274852
z14,-0.09507469589961556
z7,0.09264045452938868
z39,0.08525891164740806
z17,0.07755752188685952
z16,-0.07718302128221508
z53,-0.07113515286519967
z48,0.0697650681936798
z12,0.06700252503426557
z40,0.06583236199208711
z6,-0.06193212200441633
z13,0.06141955461966305
z15,-0.05948337870942839
z59,0.056685587137473605
z22,-0.05560662647934965
z32,-0.050670427382972213
z1,-0.05003949571702485
z30,-0.049442720529390145
z34,0.048888760878450746
z9,0.047128954939137394
z8,0.04557012677853861
z54,-0.04388848799175819
z47,-0.04135976465269496
z24,-0.0407807146234501
z56,-0.03977570646894212
z10,0.039635010749617415
z21,-0.03896480366956116
z28,0.03789170843811409
z64,-0.03771539404025915
z5,0.03600315882346187
z45,0.03546967641961897
z18,0.03449818445034169
z51,-0.03412022873053042
z27,-0.03261756924568074
z33,-0.03180506709689032
z61,-0.030903710383704583
z4,-0.029577004071151616
z50,0.025125807562556578
z25,-0.023820341546670072
z29,0.020906679837569313
z31,0.020860162067267603
z23,-0.020411545145831777
z37,-0.019354905129756197
z43,0.016894435105390227
z19,0.01682538851337781
z42,-0.016725736486810836
z60,0.015887999390761954
z55,0.015298032389238879
z57,0.014091038589686645
z11,-0.012647951699292536
z38,-0.01215829780549056
z26,-0.012022718452852433
z36,-0.00964447628980545
z63,0.009163642370545887
z20,0.008664158212413876
z58,-0.008478152825734811
z44,0.006397058230771919
z62,-0.0038623509964286515
z46,-0.002719581431906871
z52,-0.0012271089237516637
z41,0.0005675586008910488
z49,-0.0003906415112930518
