corpus,speaker_id,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63,z64
CommonVoice-ES,0003b969350f5308dc7347c574bc291834f38fdd92a2863b6059349b4be9738133855f3c49c0a6f7b7b01aff4be4573a1b066fbc7e1c26b1b9383c9d787acc5d,-7.1669602,-0.55726707,5.27885,-0.881578,-0.1921037,-0.100891806,-3.4431143,4.6793156,-2.821604,-3.7915418,-2.6499794,1.122199,2.3958323,-2.9945006,0.94131136,-4.466415,2.0457413,-2.7711928,1.8000087,0.3872527,2.3782527,5.2470326,-7.1974816,-1.0423843,2.1633177,0.14735155,-1.2750728,-1.8055359,2.7793596,-0.31253403,-1.1709473,-5.013527,-4.7834134,1.8821695,-6.5489316,2.4293609,0.6064022,0.83199537,-5.7929864,-2.4263837,-0.5328562,-0.30332348,2.7422903,0.50568825,0.32137012,0.5797318,4.620205,2.1460447,0.30370545,2.1057928,1.0113186,-0.57647175,-1.5523838,0.5117255,2.7095766,-4.175982,1.0973829,4.382333,3.6609771,1.9482256,-0.72246903,-2.4958653,1.1407946,0.16264474
CommonVoice-ES,000cabfec517361c40d984236ed5047a99984258e9842df2ca556d919e115e09f0f0bbd46a029cdfe8edd3583d4e38d45c9c464d942ea82076cd101df7898390,-4.4736896,-2.6894872,6.30965,1.0201781,0.65519494,3.1295788,-2.9569178,-0.7921996,3.0153239,1.0579239,-0.86435515,3.112427,-1.8770226,0.7571921,-5.069016,2.6270375,2.3535936,-0.8573769,-2.0775845,0.63466936,-1.6655132,-4.457186,2.1639562,4.246244,-1.4469489,-1.6189271,3.8468018,2.4179606,1.082486,3.9218638,-0.9806134,2.316126,-1.3551623,-2.3966968,2.7484744,3.4378395,1.4654537,-0.46277744,-1.2832834,1.7952838,1.5086894,-1.2569021,3.076454,-3.1592665,-0.7541336,-1.4655377,-2.8282902,1.8994818,-3.519346,-1.2687707,-0.071881615,-0.61451054,0.85455126,-3.0277715,0.32767734,2.029716,0.74601716,1.143112,2.213654,-1.3025633,-0.59127516,-0.7928009,-1.8974478,1.2312564
CommonVoice-ES,000de8f59af10409a1f8e499c2f50b6a5adf2d9ad0f18395af0893345481b8311b1a094787aac8959fc50961f3e94deeacd005df8d478fd261cbf7b508602f0a,-5.6220694,0.06654948,3.100407,-3.2489786,2.9759386,-0.752923,-3.166891,2.169092,3.4115698,0.82661015,2.6604676,-5.820478,-0.6070618,-1.7599846,5.1508317,-0.38742417,-2.7344108,2.7039895,1.2673074,-4.8256164,-0.35593304,0.26434502,4.8378267,0.40418074,-1.2063822,-0.13714814,0.5191364,-2.3391743,-1.7424269,-0.5945171,-2.4681375,0.6694163,-1.6540715,0.26362002,0.3856535,-0.3026962,-0.6891212,1.7068089,3.7288795,2.2983496,-0.43443775,0.99150544,-1.715657,-2.1798916,2.290267,-0.65160143,1.3866721,0.81029445,1.9394107,-4.2003913,-5.3201447,0.09502833,2.689817,1.2180603,-0.75000143,0.9201165,1.3858289,1.0513053,0.39318565,-2.1676943,-0.82117134,1.683189,-1.7627339,0.08596899
CommonVoice-ES,000e1fde6e71b6a7bcdb9c7135d361d67e695ffee99111e331df84503fe1c874cb6217702dae6fc5785f64da0adc58b6ad705bec36a2708ad6291b3dccf39cfb,-9.520267,-1.9517785,4.3442464,-0.4527544,1.3719801,-3.8651695,-1.2923623,1.92952,4.9794335,0.9353091,6.4448695,-0.6674719,1.0857421,3.650642,-1.1071622,2.3818786,3.9542153,1.202921,-0.58577645,-2.3645,-3.4647305,1.5397372,-1.5536628,0.53884196,1.5902731,2.9902413,-3.8097198,-2.0808892,2.7544591,-0.6281142,-0.0980472,-2.4323537,-1.1377392,-0.03822447,0.009639621,-2.393653,1.0648655,-0.95883656,-2.6365254,-2.1406744,0.5228448,-1.0589385,3.4585767,0.51602507,-0.85646284,-2.0293653,0.72219545,2.4281733,0.37605387,0.5940404,-0.8402589,0.37589633,-2.1547406,0.0050905272,1.5891556,0.57779664,-2.471136,-0.51987576,-2.5619862,-0.47507274,-0.9094971,-1.9477481,-0.86100715,2.0593622
CommonVoice-ES,001519f234e04528a2b36158c205dbe61c8da45ab0242f8800d6c4c2e9ac6ca76c9e5af86a313ab309f426c44204dfa7d2bb14b37ed565af9c1c6c86943675f9,-6.446349,-3.8888998,4.0304017,-0.5645805,-6.2634864,0.052400198,-1.7306911,-3.2491212,3.6687436,3.835338,1.9268457,-4.457566,2.3499207,2.6405904,-3.2317502,3.4849234,-1.7337277,-2.4637368,1.2834969,-0.41890234,0.9616737,-1.2935704,-2.2746677,-2.4870338,5.7013226,-1.1311917,-2.1753259,-0.5556628,-4.3883166,-0.13215767,2.4432614,-2.931412,-2.0049708,3.9559944,-0.22390476,-3.203235,0.01784979,2.756754,0.42025065,2.1766305,-3.0070224,1.129517,1.152381,1.6204695,-0.9913766,-0.15125264,-3.5266967,0.19779883,0.517994,-1.0297574,-2.0126789,1.340325,-0.77508366,0.043739256,2.2706902,-0.3878321,1.8287446,-1.3369274,-0.8880079,1.087347,-1.5995314,2.6823072,-0.65294343,-2.9396205
CommonVoice-ES,004268aa90f5599161165dfd35e9ccb3c035e16623ba04e4510496ae5ba2139c2fc2a880efb15793acdd5b0a9f3f8b333f09c3852eaa5120202797f0416c0d5e,-8.040862,0.10426025,3.1359134,-2.880258,4.115013,1.6842281,-2.9570634,-1.1888323,-2.07112,-0.47964376,-5.272881,-0.8229199,3.004816,-3.1490853,4.862149,-0.6196882,2.2878094,2.2776296,-0.01893127,2.6404166,-0.82406914,3.8211424,3.515064,2.4581034,-3.4633632,-2.8021586,-1.4015515,0.26212612,3.9442422,-2.0548735,-2.9719565,-1.0805864,-2.2367306,1.0031444,-2.2649143,3.0316212,0.13821042,1.1077653,0.49406153,-2.6913838,0.76933974,2.1002185,-2.222148,2.3543718,-3.5787404,-0.6224896,0.20139311,-1.3958229,-0.84495056,-0.53615946,-0.36454824,-0.95573896,-0.75823694,-0.39838737,4.5644107,-0.26837116,1.3955396,0.054161143,1.0311174,-4.258044,0.010902293,-0.4103055,-1.4072478,0.52829987
CommonVoice-ES,005de462403c8b83232de3c8634f6b985f2576bdb9eaa0e4990dda1d081b4e3f063fb692756685bbae9f753ce9a9a0e1f3106b0440d2001df5cdb97bbcf5bd19,-8.142054,-0.5959831,-3.3419073,0.28106993,-0.7840808,-5.1432514,-0.5420753,0.69950956,-2.080923,0.4190103,2.1403592,-1.1365547,4.6907325,1.0878195,4.25735,-2.8592606,-1.1235852,2.0552635,-0.29892606,-3.8464844,2.6324365,1.4196572,-1.3571879,4.3278465,-1.8118685,1.318906,-2.9570897,0.4730399,-1.546377,-0.12981568,-0.7884866,1.9119635,1.2978476,-1.1145828,-1.9016787,-2.8834147,-1.6788298,-0.7399324,-1.5243094,1.8086236,-1.5434573,-1.2664406,-0.41850904,-2.9198265,0.22046442,1.5793877,0.28006,0.73247534,-0.6860408,0.41362286,2.2535837,-0.05146499,1.2787342,-0.71681494,0.7163847,-0.93671846,0.18351308,0.7115566,0.22507605,-1.0442574,-0.21494113,-1.9390261,-0.5752751,2.7347863
CommonVoice-ES,006015274fb2a0e44ffd95b6624a52ebf90b65f3e9beacd08f30f03a2dfb7f04b5007740d80dcfcb7ee2916cf8836311fa9bdc5ab0636ffc36ad14407d75e51b,-5.735193,-5.1989713,5.3065653,-0.39756155,-6.2778516,1.8030142,-1.7004308,4.288698,0.16776994,1.7266848,4.2482233,1.3577303,1.4888405,-0.6342923,-0.49352905,-1.3737217,2.61344,1.1220386,-2.8613224,-0.3291483,-2.4809082,-0.19199514,3.9328787,-1.3022426,-2.3782005,2.5330527,-2.159407,1.9282098,-0.3503777,-1.8188441,-1.0248015,-3.1826828,0.4758851,0.3902909,-0.25863802,-1.3059196,-0.73653,2.1669936,1.3417026,4.228983,-2.4100957,-0.9130789,2.2186165,0.84443486,-0.42027974,-0.92079526,0.97707576,-1.3558766,0.12874453,-0.47877002,0.3773959,-0.37087852,-0.1485391,1.5205303,3.291223,3.7934175,1.0891383,1.5787556,-1.184121,2.2403944,2.2416809,1.0627899,-2.2220767,-1.6287779
CommonVoice-ES,007af9a8b5b99ecebf4f3383f6479310ab74a4db11ad97caee4bf74649abbaa768911c7e2d4686280fca6e85edc08cdf2056ce6ae6b9ed57d30626717d0ab21c,-2.623828,2.990887,-3.150823,-2.3402073,-1.3606573,3.4005816,-5.7288213,3.2218146,3.2567625,-2.073946,-4.4867744,-1.6710035,0.29501545,-0.019911176,-2.2577128,0.12022554,-0.96283674,-1.5715529,-0.39262018,0.17579262,2.783891,-2.756475,-0.3435244,0.36271736,-4.7571964,0.18876852,-3.229635,4.079846,-1.8367355,-1.5729781,0.42268714,2.1477504,-0.83847135,-3.4006133,-1.1772884,0.6860072,-0.2249208,-0.5933659,1.7310773,1.9893558,1.8658745,2.5338933,1.8410128,2.4918654,0.4718492,-0.8798297,0.2526616,1.8761145,0.30070186,2.50324,-0.6294449,1.5834172,-3.527463,0.022441013,-1.1642212,2.3602064,-0.51937926,1.0725753,-2.9076352,0.5472834,0.4664131,-0.9352551,0.28886917,-1.0498059
CommonVoice-ES,009a05a9e971f49fc37576ba2f3a90ca1c7b0e595cfaf924bfcb539d3ff0476b0e4288f8afa637da46bcb2203fb5261c78cd5f3c35b7a2bc2bf4fba8f5c90922,-5.2436438,3.9235425,-4.701809,2.503609,-1.7218008,3.1061714,-3.1565266,-0.8436119,0.4874824,1.2765948,-3.5362368,-5.4556828,-2.1024272,-0.5747113,0.25057492,5.751013,-4.268216,-2.710154,1.3704782,-0.11019474,0.44181728,-1.407255,1.3629482,-0.82544065,-1.8165569,-1.4287351,0.87648803,2.1542623,1.3873575,-2.0089276,1.8053441,-1.9804069,-1.6478537,-0.35975006,0.97200376,-3.8998754,-0.8637383,0.07597888,-4.117281,3.8477976,-0.02848435,3.1315873,-1.2383593,-1.643699,2.471598,0.0035259398,0.7216298,-2.0247622,-1.5802929,3.302482,-1.9757808,-1.7823694,1.8154582,-5.4446855,-1.7324661,-0.43922478,2.3122823,0.7523733,1.929884,0.41351697,1.3800398,-0.49424267,-2.8465295,-0.29727894
